Abelia biflora,AM
Abies nephrolepis,EcM
Acer campbellii,AM
Acer coriaceifolium,AM
Acer davidii,AM
Acer fabri,AM
Acer rubrum,AM
Acer triflorum,AM
Acer truncatum,AM/EcM
Acronychia pedunculata,AM
Actaea cimicifuga,AM/NM
Adenocaulon himalaicum,AM
Adina pilulifera,AM
Aesculus hippocastanum,AM
Aesculus parviflora,AM
Agrimonia pilosa,AM
Aidia oxyodonta,AM
Alangium chinense,AM
Alchornea tiliifolia,AM
Alchornea trewioides,AM
Allophylus cobbe,AM
Alniphyllum fortunei,AM
Alpinia japonica,AM
Alstonia scholaris,AM
Anaphalis aureopunctata,AM/NM
Anaphalis hancockii,AM
Antidesma maclurei,AM
Aphanamixis polystachya,AM
Aporosa octandra,AM
Aporosa yunnanensis,AM
Archidendron clypearia,AM
Archidendron lucidum,AM
Ardisia depressa,AM
Ardisia japonica,AM
Artemisia igniaria,AM
Artemisia mongolica,AM
Artocarpus styracifolius,AM
Asimina triloba,AM
Asparagus schoberioides,AM
Aster tataricus,AM
Astilbe rivularis,AM
Astilbe rubra,AM
Athyrium multidentatum,AM
Athyrium sinense,AM
Athyrium spinulosum,AM
Barringtonia racemosa,AM
Betula albosinensis,EcM
Betula dahurica,EcM
Betula fruticosa,EcM
Betula platyphylla,EcM
Blastus cochinchinesis,AM
Blastus pauciflorus,AM
Blechnum orientale,AM
Calamus rhabdocladus,AM
Canarium album,AM
Carallia brachiata,AM
Carpinus betulus,EcM
Carpinus cordata,EcM
Carya glabra,EcM
Caryota maxima,AM
Castanopsis carlesii,EcM
Castanopsis echinocarpa,EcM
Castanopsis eyrei,EcM
Castanopsis faberi,EcM
Castanopsis fargesii,EcM
Catalpa bignonioides,AM
Catunaregam spinosa,AM
Caulophyllum robustum,AM
Celtis sinensis,AM
Cercidiphyllum japonicum,AM
Chamaecyparis obtusa,AM
Chenopodium serotinum,AM
Chionanthus virginicus,AM
Choerospondias axillaris,AM
Cibotium barometz,NM
Cinnamomum austrosinense,AM
Cinnamomum camphora,AM
Cinnamomum cassia,AM
Cinnamomum micranthum,AM
Cinnamomum porrectum,AM
Cinnamomum tenuifolium,AM
Cornus bretschneideri,AM
Cornus controversa,AM
Cornus florida,AM
Cornus kousa,AM
Cornus ulotricha,AM
Corylus ferox,EcM
Corylus sieboldiana,EcM
Cotoneaster adpressus,AM
Cotoneaster multiflorus,AM
Cratoxylum cochinchinense,AM
Cryptocarya chinensis,AM
Cryptocarya concinna,AM
Cryptomeria japonica,AM
Cunninghamia lanceolata,AM
Cupressus funebris,AM
Dacrycarpus imbricatus,AM
Daphniphyllum pentandrum,AM
Decaspermum gracilentum,AM
Dendropanax dentiger,AM
Deutzia glabrata,AM
Deutzia grandiflora,AM
Dicranopteris linearis,AM
Dioscorea nipponica,AM
Diospyros strigosa,AM
Diospyros virginiana,AM
Diplospora dubia,AM
Doellingeria scabra,AM
Dryopteris lepidopoda,NM
Dryopteris sparsa,AM
Duchesnea indica,AM
Dysoxylum excelsum,AM
Elaeocarpus dubius,AM
Elaeocarpus glabripetalus,AM
Elaeocarpus sylvestris,AM
Embelia vestita,AM
Endospermum chinense,AM
Equisetum pratense,NM
Eriobotrya japonica,AM
Eurya japonica,AM
Fagus engleriana,EcM
Ficus variolosa,AM
Filipendula palmata,AM/NM
Fraxinus americana,AM
Garcinia oblongifolia,AM
Ginkgo biloba,AM
Goniothalamus griffithii,AM
Gordonia axillaris,AM
Halesia tetraptera,AM
Hamamelis virginiana,AM
Helicia formosana,AM
Hosta ventricosa,AM
Ilex opaca,AM
Iris japonica,AM
Itea chinensis,AM
